1001002140001;214;ROGER SALENGRO                                                                  ;NEUILLY-PLAISANCE RER                                                           ;1;1;1;1;0
1001002150001;215;VINCENNES RER-REPUBLIQUE                                                        ;PORTE DE MONTREUIL - METRO                                                      ;1;1;1;1;0
1001002160001;216;RUNGIS-MARCHE INTERNATIONAL                                                     ;DENFERT ROCHEREAU-METRO-RER                                                     ;0;1;1;1;0
1001002170001;217;TORCY RER                                                                       ;MAIRIE D'ALFORTVILLE                                                            ;0;1;0;1;1
1001002200001;220;POINTE DE GOURNAY                                                               ;BRY SUR MARNE-RER                                                               ;0;1;1;1;0
1001002210001;221;MAIRIE DE LIVRY-GARGAN                                                          ;GALLIENI-METRO                                                                  ;0;1;0;1;0
1001002340001;234;EUROPE                                                                          ;FORT D'AUBERVILLIERS-METRO                                                      ;1;1;1;1;0
1001002350001;235;PARC DEPARTEMENTAL-COLLEGE SISLEY                                               ;GABRIEL PERI-METRO                                                              ;0;0;0;1;0
1001002370001;237;SAINT-GRATIEN RER                                                               ;MAIRIE DE SAINT OUEN-METRO                                                      ;0;0;0;1;0
1001002380001;238;SAINT-GRATIEN RER                                                               ;PONT DE LEVALLOIS-METRO                                                         ;0;0;0;1;0
1001002390001;239;GARE D'ARGENTEUIL                                                               ;PORTE DE LA CHAPELLE-METRO                                                      ;1;1;1;1;0
1001002400001;240;RUEIL-MALMAISON RER                                                             ;GENNEVILLIERS RER                                                               ;0;0;0;1;0
1001002410001;241;RUEIL MALMAISON-RER                                                             ;PORTE D'AUTEUIL-METRO                                                           ;0;1;0;1;1
1001002440001;244;CENTRE VILLE                                                                    ;PORTE MAILLOT-ANDRE MAUROIS                                                     ;1;1;1;1;1
1001002490001;249;CENTRE VILLE                                                                    ;PORTE DES LILAS-METRO                                                           ;1;1;1;1;1
1001002500001;250;LA FONTAINE CYPIERE-ZI                                                           ;FORT D'AUBERVILLIERS-METRO                                                      ;0;0;0;1;0
1001002510001;251;GARGES LES GONESSE-RER                                                          ;ZONE INDUSTRIELLE BENOIT FRACHON                                                ;0;0;0;1;0
1001002520001;252;MAIRIE DE STAINS                                                                ;PORTE DE LA CHAPELLE-METRO                                                      ;0;1;0;1;0
1001002530001;253;PORTE DE PARIS-METRO                                                            ;STADE DE FRANCE-SAINT DENIS RER                                                 ;1;1;1;1;1
1001002540001;254;LES PREVOYANTS                                                                  ;MAIRIE DE MONTMAGNY                                                             ;0;1;0;1;1
1001002550001;255;ROND POINT DE LA LUTECE                                                         ;PORTE DE CLIGNANCOURT-METRO                                                     ;0;1;0;1;1
1001002560001;256;LYCEE D'ENGHIEN                                                                 ;LA_COURNEUVE RER                                                                ;0;1;0;1;1
1001002580001;258;MAIRIE DE VILLENEUVE LA GARENNE                                                 ;LA DEFENSE-METRO-RER-TRAMWAY                                                    ;0;0;0;1;1
1001002610001;261;MAISONS LAFFITTE-RER                                                            ;EGLISE DE FRANCONVILLE                                                          ;0;1;1;1;1
1001002620001;262;GARE D'ARGENTEUIL                                                               ;LA DEFENSE-METRO-RER-TRAMWAY                                                    ;0;0;0;1;1
1001002670001;267;GONESSE ARNOUVILLE-RER                                                          ;GARE DE NANTERRE-UNIVERSITE-RER                                                 ;1;1;1;1;1
1001002680001;268;GONESSE ARNOUVILLE-RER                                                          ;PORTE DE PARIS-METRO                                                            ;0;1;0;1;1
1001002690001;269;GONESSE ARNOUVILLE-RER                                                          ;GARGES LES GONESSE-RER                                                          ;0;1;0;1;1
1001002700001;270;DE GAULLE                                                                       ;GARGES-LES-GONESSE RER                                                          ;0;1;0;1;0
1001002720001;272;GARE DE SARTROUVILLE-RER                                                        ;LA DEFENSE-METRO-RER-TRAMWAY                                                    ;0;1;0;1;1
1001002740001;274;PONT DE LEVALLOIS-METRO                                                         ;PLACE JEAN POULMARCH                                                            ;0;1;1;0;0
1001002750001;275;GABRIEL PERI-METRO                                                              ;LA DEFENSE-METRO-RER-TRAMWAY                                                    ;1;1;1;1;0
1001002760001;276;EUROPE                                                                          ;LA DEFENSE-METRO-RER-TRAMWAY                                                    ;1;1;1;1;0
1001002780001;278;ZONE INDUSTRIELLE (PASTEUR)                                                     ;LA DEFENSE-METRO-RER-TRAMWAY                                                    ;1;1;1;1;0
1001002790001;279;MEUDON LA FORET;PONT DE SEVRES-METRO                                                            ;0;1;0;1;0
